Name;Date;Close/Last;Volume;Open;High;Low
BRK.B;02/08/2023;308,48;3370587;311,12;313,41;308,01
BRK.B;04/05/2023;310,39;2314853;307,85;311,07;307,85
BRK.B;01/18/2023;308,3;3408726;315;315,54;307,75
BRK.B;01/25/2023;311,9;2300785;308,33;312,55;307,71
BRK.B;01/24/2023;311,3;2234333;309,3;312,83;307,5
BRK.B;01/03/2023;309,91;3551418;310,07;312,38;307,38
BRK.B;04/04/2023;309,07;2740754;310,76;311;307,07
BRK.B;02/09/2023;307,21;3462603;310,17;311,42;306,99
BRK.B;02/16/2023;308,18;2803844;307,58;310,2;306,87
BRK.B;01/30/2023;307,33;3475781;307,6;309,51;306,81
BRK.B;02/07/2023;312,97;3788007;307,3;314,15;306,63
BRK.B;02/01/2023;310,57;3520304;309,63;312,67;306,38
BRK.B;01/31/2023;311,52;3655334;307,74;311,86;305,79
BRK.B;02/06/2023;308,43;2980217;308,25;308,8;305,6
BRK.B;02/17/2023;308,24;2721407;307,15;308,41;305,48
BRK.B;12/12/2022;311,45;4367987;307,55;311,91;305,46
BRK.B;02/10/2023;309,89;2811155;307,08;309,98;305,28
BRK.B;12/27/2022;305,55;2731731;306,45;308,57;304,65
BRK.B;12/21/2022;307,82;3265614;304,38;308,54;304,16
BRK.B;01/19/2023;305,23;3615144;306,12;307,23;303,86
BRK.B;02/28/2023;305,18;4737739;304,89;306,15;303,41
BRK.B;03/29/2023;305,3;2651414;304,8;305,38;303,36
BRK.B;12/28/2022;303,43;2628685;304,77;3074,6;303,26
BRK.B;03/21/2023;303,85;4725100;304,56;305,63;302,25
BRK.B;03/01/2023;304,62;3400537;304,02;305,62;302,08
BRK.B;02/27/2023;304,66;3652907;304,37;305,78;302,01
BRK.B;03/10/2023;303,63;5297790;302,95;306,72;301,92
BRK.B;02/22/2023;303,16;2900326;303,2;305,27;301,77
BRK.B;03/14/2023;305,33;5255174;306,92;307,55;301,68
BRK.B;03/13/2023;302,88;4993820;301,75;306,59;300,76
BRK.B;02/21/2023;302,72;4131732;306,17;307,3;300,5
BRK.B;02/23/2023;303,07;2739656;305,01;305,56;300,25
BRK.B;02/24/2023;304,02;3659339;300,4;305,62;300,01
BRK.B;03/22/2023;299,73;3089313;303,72;307,05;299,65
BRK.B;03/27/2023;302,14;3835260;300,88;303,21;298,97
BRK.B;12/16/2022;300;8308365;299,05;302,47;297,76
BRK.B;12/19/2022;300,03;3842880;300,51;301,48;297,15
BRK.B;12/20/2022;302;3091869;300,09;304,19;297
BRK.B;03/23/2023;298,37;4016197;301,39;302,07;296,3
BRK.B;03/16/2023;302,01;6327578;296,37;304,43;295,36
BRK.B;03/20/2023;301,06;6059923;295,57;301,51;295,06
BRK.B;03/15/2023;297,88;7165298;300,02;300,55;294,9
BRK.B;03/17/2023;293,51;15611270;301,3;301,3;292,42
DIS;02/09/2023;110,36;46137150;118,04;118,18;109,8
DIS;02/02/2023;113,21;13093210;110,67;113,53;109,69
DIS;01/26/2023;109,7;9204417;108,17;109,76;107,57
DIS;02/14/2023;107,66;10768100;106,82;108,44;105,82
DIS;01/23/2023;105,69;11479080;103,29;105,95;102,92
DIS;01/20/2023;103,48;14549880;100,34;103,58;99,3
DIS;01/18/2023;99,04;11384540;100,28;101,12;98,72
DIS;01/12/2023;99,81;19764320;98,5;100,63;97,57
DIS;01/06/2023;93,92;9828145;92,66;94,69;91,32
DIS;07/13/2023;90,47;15325520;90,55;90,81;89,08
DIS;07/14/2023;88,62;17769990;90,41;90,49;88,42
DIS;11/13/2023;89,44;12834440;88,42;89,9;87,4
DIS;07/24/2023;86,6;13911900;87,49;87,96;86,55
DIS;08/21/2023;85,88;11214990;85,81;86,25;85,4
DIS;10/13/2023;84,35;10813090;83,94;84,58;83,38
DIS;09/25/2023;81,01;11034440;81,56;81,77;80,56
DIS;09/28/2023;80,13;12229820;80,28;80,92;79,65
DIS;10/04/2023;79,32;12010510;79,61;79,79;78,73
DIS;05/01/2023;102,21;6909535;102,4;102,6;10,16
DIS;02/23/2023;101,73;10974750;101,45;102,04;99,6
DIS;04/18/2023;100,93;8180148;100,61;101,15;99,59
DIS;01/17/2023;99,91;14914200;100,32;100,99;98,99
DIS;04/05/2023;99,91;7747230;99,7;100,18;98,63
DIS;04/19/2023;98,75;11523310;99,78;99,83;98,35
DIS;04/20/2023;98,07;7762736;97,75;98,58;97,39
DIS;04/26/2023;96,61;8634531;97,84;98,48;96,45
DIS;01/11/2023;96,33;8757251;95,92;96,55;95,04
DIS;11/27/2023;95,17;11049470;95,74;95,74;94,51
DIS;11/28/2023;92,5;18660310;95;95,14;92,44
DIS;12/08/2023;92,82;9498155;92,05;93,54;92,05
DIS;05/19/2023;91,35;16429040;93;93;91,31
DIS;12/15/2022;90,49;15957670;92,47;93,12;90,11
DIS;12/05/2023;90,79;12356990;91,61;91,78;89,93
DIS;05/23/2023;89,82;14778700;91,1;92,03;89,8
DIS;06/30/2023;89,28;12837550;89,18;89,6;88,6
DIS;06/28/2023;88,83;12118270;89,39;89,4;88,52
DIS;07/10/2023;88,1;13642620;88,25;88,68;87,85
DIS;11/10/2023;88,27;25200000;90,13;90,16;86,93
DIS;08/23/2023;85,83;7575953;85,81;86,32;85,63
DIS;07/28/2023;86,13;13638330;85,86;86,58;85,44
DIS;12/30/2022;86,88;23230970;85,73;87,12;85,22
DIS;10/11/2023;84,85;9499170;85,37;85,72;84,25
DIS;09/05/2023;81,19;12741680;81,42;82,38;81,17
DIS;10/25/2023;80,59;9372522;82,13;82,55;80,51
DIS;09/27/2023;79,9;14662510;80,12;80,56;79,21
DIS;02/03/2023;110,71;12472480;111,47;113,14;110,37
DIS;02/08/2023;111,78;27719920;112,2;113,33;110,29
